spec2k17_memint
L1DPref;L2DPref;SpeedUp;L1DAccuracyTime;L1DAccuracyLate;L1DMPKI;L2CMPKI;LLCMPKI
ip_stride;no;1.0;0.6719917532078552;0.778629440972957;0.0;0.0;0.0
ipcp_isca2020;no;1.0846744072425092;0.5707695863532147;0.6213701486350665;0.0;0.0;0.0
mlop_dpc3;no;1.0809869375392247;0.6085826759857575;0.6544729194517929;0.0;0.0;0.0
vberti;no;1.118321339242584;0.861487764846953;0.8792218233213539;0.0;0.0;0.0
